user_id,email,signup_date,country
1,johnsonjoshua@example.org,2025-12-15,US
2,jillrhodes@example.net,2024-12-28,CA
3,garzaanthony@example.org,2025-06-08,UK
4,jesseguzman@example.net,2024-05-24,UK
5,jennifermiles@example.com,2025-06-29,CA
6,shaneramirez@example.org,2025-01-10,UK
7,helenpeterson@example.org,2024-12-17,UK
8,susanrogers@example.org,2025-04-20,SG
9,wdavis@example.net,2026-04-06,CA
10,lindsay78@example.org,2024-07-06,UK
11,smiller@example.net,2025-01-21,SG
12,barbara10@example.net,2025-06-01,AU
13,kendragalloway@example.org,2025-01-17,SG
14,jamesshawn@example.com,2026-06-10,AU
15,mitchellclark@example.com,2026-03-31,SG
16,lynchgeorge@example.net,2025-02-28,CA
17,frankgray@example.net,2026-05-13,UK
18,gabriellecameron@example.org,2025-11-10,AU
19,lydiatrujillo@example.com,2025-01-29,IN
20,carl95@example.org,2024-07-05,DE
21,pfoster@example.com,2025-05-31,SG
22,josephwright@example.net,2024-03-23,IN
23,julie69@example.com,2026-05-22,DE
24,jeffrey28@example.com,2024-09-21,UK
25,camposmichelle@example.org,2025-10-18,US
26,laurahenderson@example.org,2025-11-30,US
27,djames@example.net,2026-03-28,AU
28,tasha01@example.net,2025-08-17,AU
29,kayla51@example.com,2025-06-08,DE
30,amoore@example.net,2025-12-15,DE
31,teresa28@example.org,2025-01-05,US
32,meagan89@example.org,2026-01-02,UK
33,nathanielmartin@example.net,2026-03-13,DE
34,georgetracy@example.org,2026-06-28,AU
35,natasha43@example.org,2025-10-16,DE
36,nataliearroyo@example.org,2025-07-20,CA
37,wcabrera@example.net,2025-02-15,IN
38,davidalvarez@example.net,2025-03-16,UK
39,josephbrennan@example.com,2026-01-28,CA
40,sarahcampos@example.net,2025-05-20,US
41,jenniferross@example.net,2024-08-23,US
42,samuel87@example.org,2025-07-29,AU
43,jeffreymorgan@example.net,2026-03-18,AU
44,briannasmith@example.net,2025-10-26,SG
45,perezrebecca@example.com,2025-06-09,IN
46,palmerjoshua@example.com,2024-09-14,CA
